Date,Market,Target,Channel,Audience,Cost,Impressions,Clicks,Conversions,Revenue
20-May-20,US,HCPs,Display,Display,535.5,87941,17380,141,NA
21-May-20,US,HCPs,Display,Display,315,26375,2226,36,NA
22-May-20,US,HCPs,Display,Display,679,92630,22418,241,NA
23-May-20,US,HCPs,Display,Display,773.5,74150,19028,225,NA
24-May-20,US,HCPs,Display,Display,640.5,44426,12155,178,NA
25-May-20,US,HCPs,Display,Display,612.5,63132,16288,185,NA
26-May-20,US,HCPs,Display,Display,658,56570,14844,173,NA
27-May-20,US,HCPs,Display,Display,115.5,85,25,45,NA
28-May-20,US,HCPs,Display,Display,66.5,1,0,20,NA
29-May-20,US,HCPs,Display,Display,59.5,1,0,21,NA
30-May-20,US,HCPs,Display,Display,35,2,0,17,NA
31-May-20,US,HCPs,Display,Display,38.5,1,0,8,NA
1-Jun-20,US,HCPs,Display,Display,10.5,1,0,8,NA
2-Jun-20,US,HCPs,Display,Display,115.5,0,0,1,NA
3-Jun-20,US,HCPs,Display,Display,1956.5,244355,47775,435,NA
4-Jun-20,US,HCPs,Display,Display,1967,203834,62958,651,NA
5-Jun-20,US,HCPs,Display,Display,704,45598,17860,286,NA
6-Jun-20,US,HCPs,Display,Display,681.5,46425,18447,276,NA
7-Jun-20,US,HCPs,Display,Display,717,48466,19494,247,NA
8-Jun-20,US,HCPs,Display,Display,718.5,48325,18999,294,NA
9-Jun-20,US,HCPs,Display,Display,1151,52291,20854,277,NA
10-Jun-20,US,HCPs,Display,Display,1485,121552,49016,582,NA
11-Jun-20,US,HCPs,Display,Display,1786,123336,49297,642,NA
12-Jun-20,US,HCPs,Display,Display,2686.7,142651,58262,766,NA
13-Jun-20,US,HCPs,Display,Display,3289.8,215549,86348,1077,NA
14-Jun-20,US,HCPs,Display,Display,3530.4,284705,113249,1338,NA
15-Jun-20,US,HCPs,Display,Display,1842,184592,74929,1035,NA
16-Jun-20,US,HCPs,Display,Display,1414.57,89397,37124,583,NA
17-Jun-20,US,HCPs,Display,Display,794.15,46393,18943,343,NA
18-Jun-20,US,HCPs,Display,Display,676.17,29815,11918,259,NA
19-Jun-20,US,HCPs,Display,Display,444.47,15716,6257,195,NA
20-Jun-20,US,HCPs,Display,Display,279.81,7414,2783,117,NA
21-Jun-20,US,HCPs,Display,Display,187.43,4174,1447,84,NA
22-Jun-20,US,HCPs,Display,Display,108.12,3012,985,50,NA
23-Jun-20,US,HCPs,Display,Display,40.69,2,1,26,NA
24-Jun-20,US,HCPs,Display,Display,15.19,0,0,5,NA
25-Jun-20,US,HCPs,Display,Display,189.9,0,0,7,NA
26-Jun-20,US,HCPs,Display,Display,316.73,38838,13224,185,NA
27-Jun-20,US,HCPs,Display,Display,293.27,20631,7205,117,NA
28-Jun-20,US,HCPs,Display,Display,329.19,18772,6853,128,NA
29-Jun-20,US,HCPs,Display,Display,291.99,17563,6265,110,NA
20-May-20,US,Patients,Display,Display,16,1145,61,1,NA
21-May-20,US,Patients,Display,Display,28,26163,1037,6,NA
22-May-20,US,Patients,Display,Display,770,54033,4688,31,NA
23-May-20,US,Patients,Display,Display,882,121968,16953,246,NA
24-May-20,US,Patients,Display,Display,580,46743,6953,115,NA
25-May-20,US,Patients,Display,Display,613,34805,5918,123,NA
26-May-20,US,Patients,Display,Display,683,31343,5338,129,NA
27-May-20,US,Patients,Display,Display,534,17603,3701,135,NA
28-May-20,US,Patients,Display,Display,83,41,14,24,NA
29-May-20,US,Patients,Display,Display,45,3,4,14,NA
30-May-20,US,Patients,Display,Display,20,2,0,6,NA
31-May-20,US,Patients,Display,Display,20,1,0,4,NA
1-Jun-20,US,Patients,Display,Display,9,1,0,3,NA
3-Jun-20,US,Patients,Display,Display,1916,88895,17414,331,NA
4-Jun-20,US,Patients,Display,Display,1912,94269,25462,603,NA
5-Jun-20,US,Patients,Display,Display,624.5,23594,6737,247,NA
6-Jun-20,US,Patients,Display,Display,611,27762,8778,243,NA
7-Jun-20,US,Patients,Display,Display,578,26721,8801,226,NA
8-Jun-20,US,Patients,Display,Display,619,26837,8621,237,NA
9-Jun-20,US,Patients,Display,Display,862.5,28952,9310,239,NA
10-Jun-20,US,Patients,Display,Display,1138,47131,15348,348,NA
11-Jun-20,US,Patients,Display,Display,1166,61984,19806,400,NA
12-Jun-20,US,Patients,Display,Display,1503.6,62862,19310,389,NA
13-Jun-20,US,Patients,Display,Display,1913.85,124485,36721,586,NA
14-Jun-20,US,Patients,Display,Display,2847.75,187100,54434,948,NA
15-Jun-20,US,Patients,Display,Display,1494.15,96223,27808,628,NA
16-Jun-20,US,Patients,Display,Display,1294.15,50538,15292,417,NA
17-Jun-20,US,Patients,Display,Display,680.05,23822,6835,237,NA
18-Jun-20,US,Patients,Display,Display,585.75,21383,6800,184,NA
19-Jun-20,US,Patients,Display,Display,358.15,17855,5955,120,NA
20-Jun-20,US,Patients,Display,Display,167.75,5259,1616,61,NA
21-Jun-20,US,Patients,Display,Display,108.35,3639,1033,40,NA
22-Jun-20,US,Patients,Display,Display,126.1,4171,1188,38,NA
23-Jun-20,US,Patients,Display,Display,9.35,4,5,9,NA
24-Jun-20,US,Patients,Display,Display,10.2,0,0,2,NA
25-Jun-20,US,Patients,Display,Display,292.45,0,0,3,NA
26-Jun-20,US,Patients,Display,Display,342.9,27426,8233,177,NA
27-Jun-20,US,Patients,Display,Display,268.1,10498,3032,94,NA
28-Jun-20,US,Patients,Display,Display,265.7,12722,3871,82,NA
29-Jun-20,US,Patients,Display,Display,297.9,10043,3027,86,NA
