Date,Market,Target,Channel,Audience,Cost,Impressions,Clicks,Conversions,Revenue
4-Jun-20,US,HCPs,Native,Native,4.972856333,3383,6,0,NA
4-Jun-20,US,HCPs,Native,Native,4.972856333,2391,3,0,NA
4-Jun-20,US,HCPs,Native,Native,4.972856333,3684,2,0,NA
5-Jun-20,US,HCPs,Native,Native,2.769782167,1112,5,0,NA
5-Jun-20,US,HCPs,Native,Native,2.769782167,1135,1,0,NA
5-Jun-20,US,HCPs,Native,Native,2.769782167,1253,2,0,NA
5-Jun-20,US,HCPs,Native,Native,2.769782167,1385,2,0,NA
5-Jun-20,US,HCPs,Native,Native,2.769782167,1169,2,0,NA
5-Jun-20,US,HCPs,Native,Native,2.769782167,1565,2,0,NA
6-Jun-20,US,HCPs,Native,Native,1.916458667,935,1,0,NA
6-Jun-20,US,HCPs,Native,Native,1.916458667,1198,1,0,NA
6-Jun-20,US,HCPs,Native,Native,1.916458667,887,2,0,NA
13-Jun-20,US,HCPs,Native,Native,17.100839,10119,22,0,NA
14-Jun-20,US,HCPs,Native,Native,15.00511,9807,38,1,NA
15-Jun-20,US,HCPs,Native,Native,8.232765,5311,30,0,NA
4-Jun-20,US,Patients,Native,Native,4.927657,2501,2,0,NA
4-Jun-20,US,Patients,Native,Native,4.927657,2281,2,0,NA
4-Jun-20,US,Patients,Native,Native,4.927657,2404,1,0,NA
5-Jun-20,US,Patients,Native,Native,2.451740167,1257,3,0,NA
5-Jun-20,US,Patients,Native,Native,2.451740167,1257,2,0,NA
5-Jun-20,US,Patients,Native,Native,2.451740167,1297,3,0,NA
5-Jun-20,US,Patients,Native,Native,2.451740167,1017,1,0,NA
5-Jun-20,US,Patients,Native,Native,2.451740167,1196,1,0,NA
5-Jun-20,US,Patients,Native,Native,2.451740167,1005,2,0,NA
6-Jun-20,US,Patients,Native,Native,2.326039,1776,2,1,NA
6-Jun-20,US,Patients,Native,Native,2.326039,1016,4,0,NA
6-Jun-20,US,Patients,Native,Native,2.326039,969,1,0,NA
13-Jun-20,US,Patients,Native,Native,1.713616667,1190,6,0,NA
13-Jun-20,US,Patients,Native,Native,1.713616667,1371,6,0,NA
13-Jun-20,US,Patients,Native,Native,1.713616667,936,13,0,NA
14-Jun-20,US,Patients,Native,Native,0.804935667,323,1,0,NA
14-Jun-20,US,Patients,Native,Native,0.804935667,329,2,0,NA
14-Jun-20,US,Patients,Native,Native,0.804935667,497,18,0,NA
15-Jun-20,US,Patients,Native,Native,2.714600333,1274,26,0,NA
15-Jun-20,US,Patients,Native,Native,2.714600333,1201,21,0,NA
15-Jun-20,US,Patients,Native,Native,2.714600333,1141,30,0,NA
