Date,Market,Target,Channel,Audience,Cost,Impressions,Clicks,Conversions,Revenue
28-May-20,US,HCPs,Tiktok,tiktok,0,1,2,0,NA
15-Jun-20,US,HCPs,Tiktok,tiktok,96.18,0,0,0,NA
16-Jun-20,US,HCPs,Tiktok,tiktok,100.8,48443,443,19,NA
17-Jun-20,US,HCPs,Tiktok,tiktok,173.86,34761,368,27,NA
18-Jun-20,US,HCPs,Tiktok,tiktok,73.2,85160,869,45,NA
19-Jun-20,US,HCPs,Tiktok,tiktok,114.73,32723,334,41,NA
20-Jun-20,US,HCPs,Tiktok,tiktok,130.98,63279,665,26,NA
21-Jun-20,US,HCPs,Tiktok,tiktok,180.23,48871,554,35,NA
22-Jun-20,US,HCPs,Tiktok,tiktok,102.56,93713,1161,55,NA
23-Jun-20,US,HCPs,Tiktok,tiktok,49.22,49004,564,37,NA
24-Jun-20,US,HCPs,Tiktok,tiktok,31.52,24817,274,26,NA
25-Jun-20,US,HCPs,Tiktok,tiktok,0,9254,96,18,NA
26-Jun-20,US,HCPs,Tiktok,tiktok,0,4,0,4,NA
27-Jun-20,US,HCPs,Tiktok,tiktok,0,2,0,3,NA
28-Jun-20,US,HCPs,Tiktok,tiktok,0,4,0,3,NA
29-Jun-20,US,HCPs,Tiktok,tiktok,0,1,0,0,NA
28-May-20,US,Patients,Tiktok,tiktok,0,1,0,0,NA
11-Jun-20,US,Patients,Tiktok,tiktok,39.09,0,0,0,NA
12-Jun-20,US,Patients,Tiktok,tiktok,81.19,23395,208,12,NA
13-Jun-20,US,Patients,Tiktok,tiktok,23.29,15696,160,10,NA
14-Jun-20,US,Patients,Tiktok,tiktok,48.32,8223,78,12,NA
15-Jun-20,US,Patients,Tiktok,tiktok,41.52,14048,128,15,NA
15-Jun-20,US,Patients,Tiktok,tiktok,45.93,0,0,0,NA
16-Jun-20,US,Patients,Tiktok,tiktok,7.43,9485,103,15,NA
16-Jun-20,US,Patients,Tiktok,tiktok,211.39,36063,281,14,NA
17-Jun-20,US,Patients,Tiktok,tiktok,0.86,5097,37,3,NA
17-Jun-20,US,Patients,Tiktok,tiktok,179.15,69221,610,57,NA
18-Jun-20,US,Patients,Tiktok,tiktok,1.6,435,4,1,NA
18-Jun-20,US,Patients,Tiktok,tiktok,19.5,72068,576,47,NA
19-Jun-20,US,Patients,Tiktok,tiktok,NA,531,5,1,NA
19-Jun-20,US,Patients,Tiktok,tiktok,52.39,7498,71,12,NA
20-Jun-20,US,Patients,Tiktok,tiktok,1.31,551,5,0,NA
20-Jun-20,US,Patients,Tiktok,tiktok,45.56,27327,219,15,NA
21-Jun-20,US,Patients,Tiktok,tiktok,11.57,870,2,0,NA
21-Jun-20,US,Patients,Tiktok,tiktok,65.76,20400,164,19,NA
22-Jun-20,US,Patients,Tiktok,tiktok,0.21,6425,42,3,NA
22-Jun-20,US,Patients,Tiktok,tiktok,36.88,40511,299,17,NA
23-Jun-20,US,Patients,Tiktok,tiktok,0,61,0,0,NA
23-Jun-20,US,Patients,Tiktok,tiktok,13.81,20620,158,17,NA
24-Jun-20,US,Patients,Tiktok,tiktok,19.06,7548,63,4,NA
25-Jun-20,US,Patients,Tiktok,tiktok,0,7133,63,7,NA
26-Jun-20,US,Patients,Tiktok,tiktok,0,3,0,2,NA
