Date,Market,Target,Channel,Audience,Cost,Impressions,Clicks,Conversions,Revenue
11-Jun-20,US,HCPs,Twitter,twitter,39.22,12895,744,1,NA
12-Jun-20,US,HCPs,Twitter,twitter,29.59,729,58,27,NA
13-Jun-20,US,HCPs,Twitter,twitter,25.1,4634,160,8,NA
14-Jun-20,US,HCPs,Twitter,twitter,50.06,5876,213,8,NA
15-Jun-20,US,HCPs,Twitter,twitter,0,0,0,4,NA
16-Jun-20,US,HCPs,Twitter,twitter,23.29,30616,1710,5,NA
17-Jun-20,US,HCPs,Twitter,twitter,35.55,12326,821,62,NA
18-Jun-20,US,HCPs,Twitter,twitter,73.37,8343,522,26,NA
19-Jun-20,US,HCPs,Twitter,twitter,3.61,1888,114,14,NA
20-Jun-20,US,HCPs,Twitter,twitter,18.55,13931,918,19,NA
21-Jun-20,US,HCPs,Twitter,twitter,2.59,9621,555,24,NA
22-Jun-20,US,HCPs,Twitter,twitter,6.62,8557,529,15,NA
23-Jun-20,US,HCPs,Twitter,twitter,6.21,6757,488,16,NA
24-Jun-20,US,HCPs,Twitter,twitter,6.6508,4479,327,20,NA
25-Jun-20,US,HCPs,Twitter,twitter,4.8838,3674,219,19,NA
26-Jun-20,US,HCPs,Twitter,twitter,8.3691,3131,192,7,NA
27-Jun-20,US,HCPs,Twitter,twitter,110.6218,27871,2142,17,NA
28-Jun-20,US,HCPs,Twitter,twitter,136.3041,11644,1011,85,NA
29-Jun-20,US,HCPs,Twitter,twitter,13.5233,368,39,35,NA
11-Jun-20,US,Patients,Twitter,twitter,46.37,15290,1126,3,NA
12-Jun-20,US,Patients,Twitter,twitter,24.25,2205,213,32,NA
13-Jun-20,US,Patients,Twitter,twitter,22.69,12098,644,10,NA
14-Jun-20,US,Patients,Twitter,twitter,24.1,10656,268,7,NA
15-Jun-20,US,Patients,Twitter,twitter,4.38,0,0,5,NA
16-Jun-20,US,Patients,Twitter,twitter,29.64,32373,2451,10,NA
17-Jun-20,US,Patients,Twitter,twitter,22.38,11625,1466,93,NA
18-Jun-20,US,Patients,Twitter,twitter,7.07,5279,677,32,NA
19-Jun-20,US,Patients,Twitter,twitter,1.5,2525,207,9,NA
20-Jun-20,US,Patients,Twitter,twitter,21.88,12922,1494,12,NA
21-Jun-20,US,Patients,Twitter,twitter,3.22,8826,958,19,NA
22-Jun-20,US,Patients,Twitter,twitter,1.96,7461,952,15,NA
23-Jun-20,US,Patients,Twitter,twitter,9.68,10627,1162,30,NA
24-Jun-20,US,Patients,Twitter,twitter,2,8621,1113,60,NA
25-Jun-20,US,Patients,Twitter,twitter,2.6622,7264,1133,51,NA
26-Jun-20,US,Patients,Twitter,twitter,18.2818,7010,1125,49,NA
27-Jun-20,US,Patients,Twitter,twitter,175.3186,16926,2954,60,NA
28-Jun-20,US,Patients,Twitter,twitter,125.351,8937,1375,92,NA
29-Jun-20,US,Patients,Twitter,twitter,6,247,37,38,NA
