Date,Market,Target,Channel,Audience,Cost,Impressions,Clicks,Conversions,Revenue
18-Jun-20,US,HCPs,youtube,youtube,0,0,1,1,NA
18-Jun-20,US,HCPs,youtube,youtube,0,0,1,0,NA
21-Jun-20,US,HCPs,youtube,youtube,6,3704,18,5,NA
22-Jun-20,US,HCPs,youtube,youtube,13,5856,25,11,NA
23-Jun-20,US,HCPs,youtube,youtube,13,5936,72,14,NA
24-Jun-20,US,HCPs,youtube,youtube,10,4739,21,9,NA
25-Jun-20,US,HCPs,youtube,youtube,13.5,6853,75,14,NA
26-Jun-20,US,HCPs,youtube,youtube,29,12664,2,0,NA
26-Jun-20,US,HCPs,youtube,youtube,29,13364,209,21,NA
27-Jun-20,US,HCPs,youtube,youtube,26,15951,4,0,NA
27-Jun-20,US,HCPs,youtube,youtube,26,13904,158,28,NA
28-Jun-20,US,HCPs,youtube,youtube,6.5,3351,11,1,NA
28-Jun-20,US,HCPs,youtube,youtube,6.5,3009,92,12,NA
29-Jun-20,US,HCPs,youtube,youtube,1.5,1056,6,0,NA
29-Jun-20,US,HCPs,youtube,youtube,1.5,949,67,1,NA
18-Jun-20,US,Patients,youtube,youtube,0,0,4,1,NA
18-Jun-20,US,Patients,youtube,youtube,0,0,3,0,NA
19-Jun-20,US,Patients,youtube,youtube,0,0,1,0,NA
20-Jun-20,US,Patients,youtube,youtube,0.5,269,2,0,NA
21-Jun-20,US,Patients,youtube,youtube,96.5,50524,1,1,NA
21-Jun-20,US,Patients,youtube,youtube,0,0,166,36,NA
22-Jun-20,US,Patients,youtube,youtube,29,14721,1,0,NA
22-Jun-20,US,Patients,youtube,youtube,0,0,114,29,NA
23-Jun-20,US,Patients,youtube,youtube,162.5,69444,3,0,NA
23-Jun-20,US,Patients,youtube,youtube,0,0,440,91,NA
24-Jun-20,US,Patients,youtube,youtube,0,0,136,32,NA
25-Jun-20,US,Patients,youtube,youtube,82,44086,2,0,NA
25-Jun-20,US,Patients,youtube,youtube,0,0,278,42,NA
26-Jun-20,US,Patients,youtube,youtube,0,0,566,69,NA
27-Jun-20,US,Patients,youtube,youtube,72,39130,13,0,NA
27-Jun-20,US,Patients,youtube,youtube,0,0,398,53,NA
28-Jun-20,US,Patients,youtube,youtube,36.5,22671,7,0,NA
28-Jun-20,US,Patients,youtube,youtube,0,0,232,21,NA
29-Jun-20,US,Patients,youtube,youtube,36.5,19837,8,0,NA
29-Jun-20,US,Patients,youtube,youtube,0,0,246,26,NA
